Time,X-Gyro,Y-Gyro,Z-Gyro,X-Accel,Y-Accel,Z-Accel
0.474,400.00,-12444.00,-10688.00,-325.00,350.00,51.00
0.577,528.00,-12288.00,-10616.00,-415.00,322.00,15.00
0.681,520.00,-12396.00,-10572.00,-464.00,301.00,45.00
0.784,524.00,-12452.00,-10628.00,-436.00,322.00,15.00
0.887,1076.00,-12276.00,-12280.00,-2464.00,2309.00,-1324.00
0.990,608.00,-12496.00,-10412.00,-2556.00,-337.00,-387.00
1.092,560.00,-12356.00,-10924.00,-715.00,256.00,104.00
1.197,448.00,-12384.00,-10684.00,-605.00,252.00,23.00
1.300,628.00,-12252.00,-10588.00,-497.00,354.00,-12.00
1.404,-888.00,-12684.00,-9904.00,-8665.00,8331.00,117.00
1.508,6692.00,-23536.00,-27852.00,-9022.00,20041.00,-5419.00
1.612,-2596.00,-14920.00,-15920.00,-18111.00,32767.00,-22944.00
1.716,5788.00,7752.00,-6316.00,-2820.00,32767.00,8406.00
1.820,-5520.00,4612.00,-15872.00,-12081.00,32767.00,32767.00
1.923,-3904.00,-7332.00,11548.00,-22433.00,14889.00,31411.00
2.026,896.00,-17424.00,4868.00,-3784.00,6860.00,8100.00
2.130,1248.00,-16224.00,3980.00,2307.00,-13719.00,-5480.00
2.234,7280.00,-10552.00,-12956.00,-30057.00,-19983.00,-19727.00
2.338,744.00,10228.00,16636.00,22156.00,-15687.00,-32768.00
2.442,9476.00,6276.00,-6464.00,-14774.00,-16349.00,-32768.00
2.546,12260.00,12656.00,-3712.00,2205.00,-7103.00,6395.00
2.648,-2300.00,-7564.00,3724.00,10255.00,15113.00,32767.00
2.752,4068.00,-9868.00,-30796.00,-7210.00,10825.00,11485.00
2.857,2824.00,-12636.00,-10840.00,-5333.00,10471.00,-10818.00
2.960,4160.00,-12104.00,-12088.00,-32768.00,15116.00,-32768.00
3.063,7764.00,3052.00,-1464.00,-8890.00,2459.00,-18520.00
3.167,11304.00,-3880.00,-24128.00,21376.00,-355.00,1183.00
3.270,12024.00,-4936.00,-9392.00,28966.00,6624.00,3494.00
3.374,13232.00,-6984.00,-2188.00,27137.00,10493.00,-1053.00
3.478,11656.00,-12560.00,-900.00,-6080.00,-5093.00,187.00
3.582,11392.00,-9888.00,4852.00,-13054.00,-8744.00,149.00
3.685,5388.00,9976.00,7852.00,-9454.00,-28940.00,-18315.00
3.789,-828.00,-5704.00,-16124.00,10329.00,-32768.00,22814.00
