Time,X-Gyro,Y-Gyro,Z-Gyro,X-Accel,Y-Accel,Z-Accel
0.474,1888.00,-14932.00,6336.00,-316.00,372.00,28.00
0.577,1948.00,-14892.00,6452.00,-444.00,377.00,0.00
0.680,1932.00,-14888.00,6484.00,-390.00,387.00,22.00
0.783,1844.00,-14912.00,6500.00,-384.00,402.00,16.00
0.886,1892.00,-15012.00,6460.00,-394.00,379.00,81.00
0.990,1908.00,-14864.00,6512.00,-393.00,365.00,17.00
1.093,1904.00,-14984.00,6564.00,-449.00,337.00,-23.00
1.197,2028.00,-14872.00,6444.00,-389.00,367.00,5.00
1.301,1816.00,-15156.00,6724.00,-380.00,340.00,106.00
1.405,1960.00,-14944.00,6548.00,-483.00,342.00,-29.00
1.507,1972.00,-14828.00,6524.00,-409.00,391.00,2.00
1.611,2016.00,-14780.00,6580.00,-373.00,373.00,27.00
1.715,2000.00,-14784.00,6440.00,-376.00,379.00,38.00
1.818,1992.00,-14936.00,6456.00,-412.00,354.00,3.00
1.922,1944.00,-14988.00,6472.00,-408.00,349.00,22.00
2.025,1932.00,-14920.00,6480.00,-409.00,392.00,26.00
2.128,1936.00,-14808.00,6532.00,-425.00,388.00,20.00
2.232,1932.00,-14812.00,6656.00,-375.00,384.00,11.00
2.336,1880.00,-14864.00,6452.00,-396.00,358.00,-1.00
2.438,2000.00,-14796.00,6488.00,-392.00,383.00,19.00
2.542,1868.00,-14936.00,6564.00,-408.00,349.00,23.00
2.644,1896.00,-14848.00,6520.00,-386.00,370.00,31.00
2.749,1996.00,-14916.00,6508.00,-424.00,368.00,16.00
2.852,1852.00,-14876.00,6540.00,-385.00,376.00,5.00
2.955,1852.00,-14840.00,6492.00,-392.00,359.00,3.00
3.059,1908.00,-14828.00,6588.00,-403.00,365.00,29.00
3.162,1924.00,-14916.00,6540.00,-412.00,356.00,9.00
3.266,1880.00,-14816.00,6624.00,-387.00,386.00,15.00
3.368,1924.00,-14748.00,6368.00,-408.00,376.00,4.00
3.471,1904.00,-14876.00,6432.00,-398.00,385.00,21.00
3.575,1924.00,-15016.00,6420.00,-421.00,373.00,21.00
3.678,1860.00,-14920.00,6604.00,-401.00,403.00,23.00
3.782,1928.00,-14844.00,6504.00,-393.00,390.00,20.00
3.886,1896.00,-14912.00,6532.00,-386.00,372.00,44.00
3.989,1904.00,-15008.00,6512.00,-409.00,362.00,22.00
4.092,1992.00,-14896.00,6532.00,-408.00,370.00,9.00
4.195,1952.00,-14960.00,6392.00,-400.00,389.00,0.00
4.299,1896.00,-15000.00,6328.00,-398.00,350.00,-12.00
4.402,1984.00,-14948.00,6404.00,-387.00,372.00,3.00
4.506,1944.00,-14912.00,6392.00,-409.00,390.00,11.00
4.609,2020.00,-14696.00,6380.00,-368.00,414.00,1.00
4.712,1900.00,-15028.00,6708.00,-373.00,372.00,7.00
