Time,X-Gyro,Y-Gyro,Z-Gyro,X-Accel,Y-Accel,Z-Accel
9.887,-4168.00,-10364.00,-12436.00,-537.00,304.00,-40.00
9.991,-4008.00,-10328.00,-12408.00,-503.00,349.00,-104.00
10.094,-4228.00,-10212.00,-12392.00,-460.00,328.00,15.00
10.198,-4140.00,-10328.00,-12552.00,-500.00,183.00,30.00
10.300,-4180.00,-10224.00,-12528.00,-468.00,313.00,1.00
10.405,-4244.00,-10324.00,-12368.00,-435.00,369.00,-14.00
10.508,-4108.00,-10252.00,-12412.00,-267.00,366.00,34.00
10.611,-4160.00,-10376.00,-12420.00,-248.00,326.00,50.00
10.715,-4220.00,-10368.00,-12440.00,-221.00,338.00,41.00
10.818,-4140.00,-10384.00,-12288.00,-312.00,336.00,15.00
10.922,-4084.00,-10336.00,-12448.00,-343.00,358.00,14.00
11.024,-4132.00,-10332.00,-12416.00,-304.00,328.00,8.00
11.128,-4040.00,-10296.00,-12364.00,-315.00,341.00,30.00
11.232,-4092.00,-10348.00,-12480.00,-468.00,319.00,13.00
11.335,-4052.00,-10288.00,-12388.00,-336.00,346.00,8.00
11.439,-4164.00,-10224.00,-12312.00,-444.00,330.00,34.00
11.542,-4168.00,-10324.00,-12328.00,-397.00,350.00,13.00
11.646,-4012.00,-10328.00,-12352.00,-327.00,306.00,19.00
11.749,-4100.00,-10344.00,-12400.00,-389.00,328.00,17.00
11.853,-4036.00,-10296.00,-12396.00,-296.00,379.00,87.00
11.956,-4144.00,-10328.00,-12364.00,-425.00,335.00,34.00
12.060,-4196.00,-10232.00,-12432.00,-401.00,320.00,68.00
12.163,-4096.00,-10248.00,-12300.00,-340.00,348.00,65.00
12.267,-4184.00,-10280.00,-12336.00,-414.00,377.00,-42.00
12.370,-4188.00,-10428.00,-12416.00,-472.00,280.00,-16.00
12.474,-4112.00,-10220.00,-12308.00,-410.00,317.00,41.00
12.577,-4208.00,-10288.00,-12368.00,-310.00,337.00,42.00
12.680,-4140.00,-10268.00,-12436.00,-357.00,326.00,23.00
12.783,-4092.00,-10296.00,-12296.00,-331.00,330.00,8.00
12.887,-4132.00,-10256.00,-12556.00,-330.00,355.00,39.00
12.991,-4060.00,-10260.00,-12328.00,-381.00,343.00,52.00
13.094,-4200.00,-10364.00,-12428.00,-503.00,348.00,22.00
13.198,-4148.00,-10432.00,-12228.00,-484.00,333.00,29.00
13.301,-4144.00,-10380.00,-12532.00,-426.00,346.00,11.00
13.405,-4124.00,-10308.00,-12340.00,-413.00,346.00,54.00
13.508,-4088.00,-10272.00,-12524.00,-511.00,340.00,38.00
13.612,-4164.00,-10356.00,-12392.00,-201.00,357.00,-1.00
13.715,-4052.00,-10256.00,-12396.00,-311.00,355.00,23.00
13.818,-4168.00,-10212.00,-12228.00,-371.00,329.00,29.00
13.922,-4108.00,-10212.00,-12360.00,-321.00,337.00,32.00
14.024,-4156.00,-10304.00,-12496.00,-409.00,336.00,6.00
14.129,-4140.00,-10264.00,-12376.00,-352.00,343.00,24.00
14.232,-4024.00,-10276.00,-12332.00,-386.00,331.00,-4.00
14.336,-4092.00,-10144.00,-12392.00,-365.00,351.00,-4.00
14.440,7320.00,-15608.00,-18228.00,32767.00,-19166.00,19297.00
14.543,-2164.00,-7416.00,-25132.00,3993.00,9746.00,-6916.00
14.647,-3252.00,-9436.00,-13936.00,-1574.00,-7.00,914.00
14.750,-3212.00,-9304.00,-13368.00,3927.00,2427.00,-283.00
14.854,-1636.00,-7972.00,-6488.00,32767.00,-4316.00,4609.00
14.958,-1300.00,-8152.00,-14060.00,14639.00,3743.00,-5761.00
15.061,244.00,-17024.00,5336.00,-32768.00,110.00,-9518.00
15.165,160.00,-20196.00,-12692.00,23671.00,-18619.00,11623.00
15.267,160.00,-20196.00,-12692.00,23671.00,-18619.00,11623.00
15.371,1044.00,-10448.00,7284.00,4354.00,-2446.00,3198.00
15.474,6628.00,-15264.00,2720.00,-16415.00,6446.00,-7381.00
15.578,6000.00,-9876.00,3756.00,-7411.00,-14901.00,929.00
15.682,2308.00,-2640.00,296.00,-32768.00,-32768.00,-7744.00
15.785,8812.00,5504.00,-32768.00,-32768.00,-29115.00,4331.00
15.889,-1560.00,-1084.00,-5920.00,-3846.00,-120.00,-1401.00
15.992,5240.00,-2148.00,-15800.00,26062.00,32767.00,5237.00
16.096,13028.00,-9776.00,-8448.00,-676.00,12800.00,-15349.00
16.200,11256.00,-6284.00,-12992.00,-6551.00,-11145.00,-3556.00
16.303,4804.00,-4332.00,-17508.00,30579.00,5806.00,8839.00
16.408,15424.00,-5592.00,-4104.00,1871.00,16678.00,-20318.00
16.511,13772.00,-1344.00,-7924.00,1109.00,-13092.00,-11173.00
16.615,15064.00,-7760.00,-9228.00,-8505.00,-25205.00,-4329.00
16.718,5964.00,-2372.00,-11108.00,4111.00,-6591.00,19550.00
16.822,816.00,832.00,-14672.00,-19708.00,-9081.00,-6753.00
16.926,4264.00,-4920.00,-9816.00,24948.00,13359.00,-3309.00
17.029,4232.00,-4720.00,-12152.00,7402.00,3717.00,-32353.00
17.133,6648.00,-4296.00,-9544.00,-10761.00,3776.00,-27991.00
17.236,2704.00,3052.00,-8792.00,-1811.00,2393.00,-28625.00
17.340,8620.00,8204.00,-16980.00,-11780.00,24183.00,-16055.00
17.444,8532.00,5628.00,-19648.00,13338.00,18637.00,20575.00
17.548,12752.00,3816.00,-10520.00,15236.00,4438.00,28555.00
17.651,13292.00,-1228.00,-7356.00,32767.00,-1409.00,32767.00
17.755,7920.00,-1724.00,-1124.00,28905.00,5125.00,963.00
17.858,5880.00,-20344.00,-880.00,32767.00,-9341.00,1613.00
17.962,5660.00,-16688.00,9924.00,32767.00,-23428.00,1513.00
18.066,6796.00,-10944.00,11928.00,11436.00,-29511.00,-945.00
18.170,10964.00,-9388.00,8520.00,2046.00,-12818.00,1760.00
18.273,11256.00,-632.00,8900.00,-1766.00,1675.00,-2655.00
18.376,12300.00,-6044.00,8168.00,-365.00,703.00,-2270.00
18.478,12488.00,-6436.00,7856.00,2136.00,1707.00,729.00
18.584,14656.00,-9984.00,7484.00,8876.00,-7374.00,-3002.00
18.688,14624.00,-3028.00,7576.00,10539.00,-3322.00,-2527.00
18.791,20392.00,-3832.00,9808.00,7135.00,10334.00,-1835.00
18.895,12820.00,-3576.00,12700.00,-12302.00,15342.00,-12814.00
18.999,10312.00,596.00,12532.00,-32768.00,11877.00,-1930.00
19.102,10808.00,-9812.00,1128.00,-292.00,8498.00,1500.00
19.206,4120.00,-17612.00,6952.00,18576.00,6172.00,28155.00
19.309,1080.00,-14140.00,7284.00,-9816.00,12170.00,7511.00
19.413,1996.00,-17200.00,11400.00,30690.00,-28072.00,-13100.00
19.517,14136.00,-5132.00,-7148.00,-2289.00,-6135.00,-3245.00
19.620,6612.00,-15264.00,16088.00,-3317.00,13117.00,20950.00
19.724,-3192.00,-11324.00,5176.00,-32768.00,31001.00,32767.00
19.828,652.00,-16824.00,-8620.00,-10779.00,9666.00,-32768.00
19.931,4596.00,-8524.00,1912.00,2816.00,-1275.00,-3457.00
20.035,7372.00,-13144.00,-10484.00,-5805.00,-2766.00,-1331.00
20.139,9424.00,-7776.00,-2028.00,25917.00,-8749.00,-8116.00
20.242,9144.00,-10164.00,-3872.00,-558.00,1066.00,8099.00
20.346,9116.00,-15968.00,-3784.00,1962.00,-184.00,492.00
20.450,9532.00,-10684.00,-2436.00,4180.00,-3304.00,-2700.00
20.553,8644.00,-15616.00,-2500.00,-889.00,318.00,1193.00
20.657,8712.00,-14368.00,-2860.00,-2773.00,-579.00,675.00
20.760,6836.00,-13096.00,-3836.00,-13528.00,317.00,7959.00
20.864,1908.00,-15648.00,-8244.00,-32768.00,-4049.00,32648.00
20.968,-740.00,-13356.00,-6580.00,-18149.00,-9158.00,15175.00
